Domain ID,Domain Name,Class ID,Class Name,Field ID,Field Name,Keywords,Keywords_es
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat,La carne
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat extracts,Extractos de carne
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,sausages,Las sosas
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,charcuterie,Charcutería
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,ham,HAM
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, frozen, dried and cooked fruits and vegetables","Frutas y verduras conservadas, congeladas, secadas y cocinadas"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, dried and cooked fruits and vegetables","Frutas y verduras conservadas, secadas y cocinadas"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","carne, pescado, aves y juegos"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","carne, pescado, aves y juegos"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meats and processed foods,Carnes y alimentos procesados
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk,La leche
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk products,Productos de leche
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,yoghurt,Yogurt
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk shakes,Shakes de leche
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,cheese,El queso
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,butter,mantequilla
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,margarine,La margarina
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,dairy products,productos lácteos
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jellies,Yelías
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jams,JAMS
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit-based snack food,Alimentos basados en frutas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit salads,Saladas de frutas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit chips,Frutas de chips
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit jellies,El fruto de los jelios
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,vegetable salads,Saladas vegetales
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, frozen, dried and cooked fruits and vegetables","Frutas y verduras conservadas, congeladas, secadas y cocinadas"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, dried and cooked fruits and vegetables","Frutas y verduras conservadas, secadas y cocinadas"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,compotes,Compuestas
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils,El aceite edible
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils and fats,Aceites y grasas edibles
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible fats,El grasa edible
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,butter,mantequilla
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,margarine,La margarina
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,soups,Sopa
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,potato chips,Los chips de patatas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,pickles,Pequeños
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,tofu,El tofu
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,peanut butter,mantequilla de peanut
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"nuts, prepared","Los nidos, preparados"
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,"milk beverages, milk predominating","bebidas lácteas, la leche predominante"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,fish,Pescado
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"jellies, jams, compotes","Jams, jams y compotes"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit sauces,Salsa de frutas
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",coffee,El café
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",tea,El té
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",iced tea,Tea de hielo
