Domain ID,Domain Name,Class ID,Class Name,Field ID,Field Name,Keywords,Keywords_es
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat,carne
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat extracts,Extractos de carne
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,sausages,embutidos
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,charcuterie,charcuterie
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,ham,Jamón
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, frozen, dried and cooked fruits and vegetables","Frutas y hortalizas conservadas, congeladas, secas y cocidas"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, dried and cooked fruits and vegetables","Frutas y hortalizas conservadas, secas y cocidas"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","carne, pescado, aves de corral y caza"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","carne, pescado, aves de corral y caza"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meats and processed foods,carnes y alimentos transformados
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk,leche
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk products,productos lácteos
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,yoghurt,Yoghurt
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk shakes,batidos
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,cheese,Queso
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,butter,mantequilla
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,margarine,margarina
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,dairy products,productos lácteos
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jellies,jaleas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jams,mermeladas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit-based snack food,Alimentos a base de frutas para picar
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit salads,Ensaladas de frutas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit chips,Patatas de frutas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit jellies,jaleas de frutas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,vegetable salads,ensaladas de verduras
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, frozen, dried and cooked fruits and vegetables","Frutas y hortalizas conservadas, congeladas, secas y cocidas"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, dried and cooked fruits and vegetables","Frutas y hortalizas conservadas, secas y cocidas"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,compotes,compotas
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils,Aceites comestibles
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils and fats,Aceites y grasas comestibles
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible fats,grasas comestibles
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,butter,mantequilla
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,margarine,margarina
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,soups,sopas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,potato chips,Patatas fritas
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,pickles,encurtidos
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,tofu,tofu
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,peanut butter,Mantequilla de maní
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"nuts, prepared","frutos de cáscara, preparados"
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,"milk beverages, milk predominating","bebidas lácteas, predominando la leche"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,fish,Pescado
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"jellies, jams, compotes","jaleas, mermeladas, compotas"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit sauces,Salsas de frutas
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",coffee,café
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",tea,té
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",iced tea,Té helado
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",coffee-based beverages,bebidas a base de café
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",tea-based beverages,bebidas a base de té
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",cocoa,cacao
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",artificial coffee,café artificial
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,rice,arroz
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,flour and preparations made from cereals,Harina y preparaciones a base de cereales
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,bread,pan
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,pasta,Pastas alimenticias
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,noodles,fideos
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,tapioca,tapioca
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,sago,sago
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,flour,Harina
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,chocolate,chocolate
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,confectionery,confitería
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,cakes,tortas
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,biscuits,Galletas
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,cookies,galletas
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,ice cream,helado
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,candy,caramelos
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,pastries,bollería
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,pies,tartas
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,puddings,budines
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,edible ices,Higos comestibles
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,vinegar,vinagre
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,sauces (condiments),salsas (condimentos)
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,salt,sal
