Domain ID,Domain Name,Class ID,Class Name,Field ID,Field Name,Keywords,Keywords_it
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat,La carne
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat extracts,Estratto di carne
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,sausages,salsicce
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,charcuterie,Cartuccia
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,ham,di HAM
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, frozen, dried and cooked fruits and vegetables","frutta e verdura conservati, congelati, asciutti e cucinati"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, dried and cooked fruits and vegetables","Frutta e verdura conservate, secche e cucinate"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","carne, pesce, pollo e gioco"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","carne, pesce, pollo e gioco"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meats and processed foods,Carni e cibi trasformati
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk,Il latte
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk products,Prodotti di latte
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,yoghurt,Il Yogurt
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk shakes,Shakes di latte
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,cheese,Il formaggio
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,butter,Il burro
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,margarine,di margarina
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,dairy products,Prodotti Lattieri
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jellies,Il giallo
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jams,di Jams
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit-based snack food,Alimentazione a base di frutta
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit salads,Salate di frutta
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit chips,frutta chips
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit jellies,frutta gelie
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,vegetable salads,Salate vegetali
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, frozen, dried and cooked fruits and vegetables","frutta e verdura conservati, congelati, asciutti e cucinati"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, dried and cooked fruits and vegetables","Frutta e verdura conservate, secche e cucinate"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,compotes,Composizione
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils,olio edibile
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils and fats,oli edibili e grassi
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible fats,Il grasso edibile
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,butter,Il burro
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,margarine,di margarina
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,soups,Soppia
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,potato chips,Cuccioli di patate
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,pickles,Piccoli
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,tofu,Il tofu
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,peanut butter,Pianta di Pianta
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"nuts, prepared","Cuccioli, preparati"
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,"milk beverages, milk predominating","Le bevande di latte, il latte predominante"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,fish,Il pesce
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"jellies, jams, compotes","Gioielli, Jams, Compositi"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit sauces,frutta salsa
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",coffee,Il caffè
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",tea,Il tè
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",iced tea,Il tè ghiacciato
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",coffee-based beverages,bevande a base di caffè
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",tea-based beverages,bevande a base di tè
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",cocoa,Il cacao
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",artificial coffee,Il caffè artificiale
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,rice,Il riso
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,flour and preparations made from cereals,Pianta e preparati realizzati da cereali
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,bread,Il pane
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,pasta,La pasta
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,noodles,Nuotate
