Domain ID,Domain Name,Class ID,Class Name,Field ID,Field Name,Keywords,Keywords_fr
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat,Viande
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meat extracts,Extraits de viande
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,sausages,Saucisses
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,charcuterie,charcuterie
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,ham,jambon
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, frozen, dried and cooked fruits and vegetables","fruits et légumes conservés, congelés, séchés et cuits"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"preserved, dried and cooked fruits and vegetables","fruits et légumes conservés, séchés et cuits"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","viande, poisson, volaille et gibier"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,"meat, fish, poultry and game","viande, poisson, volaille et gibier"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,meats and processed foods,viandes et aliments transformés
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk,lait
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk products,produits laitiers
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,yoghurt,yaourt
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,milk shakes,milk shakes
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,cheese,fromage
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,butter,beurre
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,margarine,Margarine
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,dairy products,produits laitiers
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jellies,gelées
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,jams,confitures
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit-based snack food,grignotines à base de fruits
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit salads,Salades de fruits
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit chips,croustilles de fruits
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit jellies,gelées de fruits
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,vegetable salads,salades de légumes
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, frozen, dried and cooked fruits and vegetables","fruits et légumes conservés, congelés, séchés et cuits"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"preserved, dried and cooked fruits and vegetables","fruits et légumes conservés, séchés et cuits"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,compotes,compotes
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils,Huiles comestibles
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible oils and fats,Huiles et graisses comestibles
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,edible fats,graisses comestibles
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,butter,beurre
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,margarine,Margarine
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,soups,soupes
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,potato chips,croustilles de pommes de terre
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,pickles,cornichons
A,Agriculture,29, Meat and Processed Foods,A.29.99,Miscellaneous Food Items,tofu,tofu
A,Agriculture,29, Meat and Processed Foods,A.29.04,Oils and Fats,peanut butter,beurre d'arachide
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"nuts, prepared","Noix, préparées"
A,Agriculture,29, Meat and Processed Foods,A.29.02,Dairy Products,"milk beverages, milk predominating","boissons laitières, prédominant dans le lait"
A,Agriculture,29, Meat and Processed Foods,A.29.01,Meat and Meat Products,fish,poissons
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,"jellies, jams, compotes","gelées, confitures, compotes"
A,Agriculture,29, Meat and Processed Foods,A.29.03,Fruits and Vegetables,fruit sauces,sauces de fruits
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",coffee,café
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",tea,thé
